时间戳(秒),位置X,位置Y,位置Z,姿态X,姿态Y,姿态Z,姿态W,前摄像头图像,前深度图像
0.132,0.210,-0.460,0.180,-0.000005,0.000001,0.999830,0.018416,camera0_00000.jpg,depth_camera0_00000.png
0.325,0.210,-0.460,0.180,-0.000001,0.000000,0.999946,0.010414,camera0_00001.jpg,depth_camera0_00001.png
0.521,0.210,-0.460,0.180,0.000001,-0.000000,0.999928,-0.012040,camera0_00002.jpg,depth_camera0_00002.png
0.735,0.210,-0.460,0.180,0.000002,-0.000001,0.998518,-0.054421,camera0_00003.jpg,depth_camera0_00003.png
0.930,0.210,-0.460,0.180,0.000000,-0.000000,0.994283,-0.106781,camera0_00004.jpg,depth_camera0_00004.png
1.124,0.210,-0.460,0.180,-0.000000,0.000000,0.984618,-0.174722,camera0_00005.jpg,depth_camera0_00005.png
1.331,0.210,-0.460,0.180,-0.000000,0.000000,0.965420,-0.260698,camera0_00006.jpg,depth_camera0_00006.png
1.525,0.210,-0.460,0.180,-0.000000,0.000000,0.938123,-0.346302,camera0_00007.jpg,depth_camera0_00007.png
1.731,0.210,-0.460,0.180,-0.000000,0.000000,0.898436,-0.439105,camera0_00008.jpg,depth_camera0_00008.png
1.921,0.210,-0.460,0.180,0.000000,-0.000000,-0.855517,0.517776,camera0_00009.jpg,depth_camera0_00009.png
2.132,0.210,-0.460,0.180,0.000000,-0.000000,-0.800178,0.599762,camera0_00010.jpg,depth_camera0_00010.png
2.323,0.210,-0.460,0.180,0.000000,-0.000000,-0.743320,0.668936,camera0_00011.jpg,depth_camera0_00011.png
2.533,0.210,-0.460,0.179,0.000000,-0.000000,-0.710896,0.703297,camera0_00012.jpg,depth_camera0_00012.png
2.724,0.210,-0.460,0.179,-0.000000,0.000000,-0.713544,0.700610,camera0_00013.jpg,depth_camera0_00013.png
2.934,0.210,-0.460,0.179,-0.000000,0.000000,-0.712962,0.701203,camera0_00014.jpg,depth_camera0_00014.png
3.124,0.210,-0.460,0.179,-0.000000,0.000000,-0.712943,0.701223,camera0_00015.jpg,depth_camera0_00015.png
3.317,0.210,-0.460,0.179,-0.000000,0.000000,-0.712972,0.701193,camera0_00016.jpg,depth_camera0_00016.png
